,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
2489,637,SL,20200927,84.8,2.05,6.03,254.0,609275,596057,,swinging_strike_blocked,13.0,R,L,KC,DET,S,,,-1.18,0.5,Erich Bacchus,-0.052
2490,638,FF,20200927,92.4,2.28,5.9,135.0,609275,596057,,ball,14.0,R,L,KC,DET,B,,,1.87,2.05,Erich Bacchus,0.033
2491,639,FF,20200927,89.8,2.4,5.92,139.0,593160,596057,field_out,hit_into_play,5.0,R,L,KC,DET,X,9.0,fly_ball,-0.27,2.5,Erich Bacchus,-0.314
2492,640,CH,20200927,85.8,2.37,5.9,116.0,593160,596057,,blocked_ball,13.0,R,L,KC,DET,B,,,-0.18,-0.09,Erich Bacchus,0.065
2493,641,CH,20200927,88.0,2.4,5.87,123.0,593160,596057,,ball,14.0,R,L,KC,DET,B,,,1.06,0.95,Erich Bacchus,0.037
2494,642,FF,20200927,91.6,2.2,5.96,139.0,593160,596057,,foul,12.0,R,L,KC,DET,S,,,0.27,3.51,Erich Bacchus,-0.056
2495,643,CH,20200927,86.6,2.45,5.93,113.0,593160,596057,,ball,14.0,R,L,KC,DET,B,,,1.14,1.22,Erich Bacchus,0.013
2496,644,CH,20200927,85.8,2.42,5.94,111.0,593160,596057,,swinging_strike,9.0,R,L,KC,DET,S,,,0.29,1.53,Erich Bacchus,-0.044
2497,645,FF,20200927,90.6,2.06,6.04,145.0,614173,596057,walk,ball,12.0,L,L,KC,DET,B,,,1.66,2.91,Erich Bacchus,0.109
2498,646,FF,20200927,89.5,2.16,6.09,145.0,614173,596057,,ball,12.0,L,L,KC,DET,B,,,1.2,3.08,Erich Bacchus,0.091
2499,647,FF,20200927,90.8,2.19,6.14,143.0,614173,596057,,ball,3.0,L,L,KC,DET,B,,,0.71,3.29,Erich Bacchus,0.04
2500,648,SL,20200927,85.2,2.0,6.18,175.0,614173,596057,,ball,13.0,L,L,KC,DET,B,,,-0.39,0.09,Erich Bacchus,0.027
2501,649,SL,20200927,83.7,1.97,6.24,178.0,670032,596057,field_out,hit_into_play,7.0,L,L,KC,DET,X,3.0,ground_ball,-0.55,1.4,Erich Bacchus,-0.209
2502,650,FF,20200927,90.1,1.99,6.13,145.0,670032,596057,,called_strike,4.0,L,L,KC,DET,S,,,-0.72,2.11,Erich Bacchus,-0.042
2503,651,FF,20200927,95.6,-1.52,5.51,214.0,670623,605130,field_out,hit_into_play,13.0,R,R,KC,DET,X,6.0,ground_ball,-0.15,1.28,Erich Bacchus,-0.135
2504,652,SL,20200927,84.2,-1.92,5.33,95.0,670623,605130,,foul,5.0,R,R,KC,DET,S,,,0.27,2.14,Erich Bacchus,-0.041
2505,653,SL,20200927,83.3,-1.72,5.46,84.0,670623,605130,,ball,14.0,R,R,KC,DET,B,,,0.55,0.86,Erich Bacchus,0.047
2506,654,SL,20200927,84.7,-1.8,5.44,99.0,670623,605130,,called_strike,6.0,R,R,KC,DET,S,,,0.66,2.04,Erich Bacchus,-0.028
2507,655,FF,20200927,94.6,-1.48,5.55,215.0,670623,605130,,ball,14.0,R,R,KC,DET,B,,,1.01,0.44,Erich Bacchus,0.027
2508,656,SL,20200927,84.7,-1.47,5.64,77.0,670623,605130,,ball,14.0,R,R,KC,DET,B,,,1.32,0.89,Erich Bacchus,0.018
2509,657,CU,20200927,77.5,-1.39,5.7,45.0,606992,605130,strikeout,swinging_strike,14.0,R,R,KC,DET,S,2.0,,0.15,1.34,Erich Bacchus,-0.118
2510,658,SL,20200927,84.5,-1.64,5.53,74.0,606992,605130,,swinging_strike,14.0,R,R,KC,DET,S,,,0.93,0.51,Erich Bacchus,-0.044
2511,659,SL,20200927,84.3,-1.58,5.49,87.0,606992,605130,,ball,14.0,R,R,KC,DET,B,,,0.85,1.29,Erich Bacchus,0.02
2512,660,SL,20200927,85.0,-1.71,5.48,91.0,606992,605130,,swinging_strike,14.0,R,R,KC,DET,S,,,1.21,0.48,Erich Bacchus,-0.026
2513,661,CU,20200927,79.2,-1.42,5.66,47.0,593528,605130,field_out,hit_into_play,9.0,R,R,KC,DET,X,5.0,ground_ball,0.68,1.95,Erich Bacchus,-0.18
2514,662,SL,20200927,85.7,-1.64,5.51,84.0,593528,605130,,ball,14.0,R,R,KC,DET,B,,,1.2,1.31,Erich Bacchus,0.027
2515,663,FF,20200927,95.0,-1.55,5.53,214.0,593528,605130,,called_strike,7.0,R,R,KC,DET,S,,,-0.45,1.78,Erich Bacchus,-0.056
2516,664,SL,20200927,86.1,-2.03,5.39,96.0,593528,605130,,called_strike,6.0,R,R,KC,DET,S,,,0.42,2.67,Erich Bacchus,-0.042
2517,665,SL,20200927,83.6,-2.38,5.71,105.0,658668,641729,field_out,hit_into_play,14.0,R,R,KC,DET,X,5.0,ground_ball,0.52,1.21,Erich Bacchus,-0.205
2518,666,SL,20200927,84.1,-2.43,5.67,132.0,658668,641729,,swinging_strike_blocked,14.0,R,R,KC,DET,S,,,1.25,0.7,Erich Bacchus,-0.076
2519,667,SL,20200927,82.8,-2.51,5.73,133.0,658668,641729,,called_strike,6.0,R,R,KC,DET,S,,,0.33,2.4,Erich Bacchus,-0.051
2520,668,SL,20200927,81.1,-2.54,5.6,132.0,643436,641729,field_out,hit_into_play,14.0,R,R,KC,DET,X,5.0,ground_ball,0.67,1.11,Erich Bacchus,-0.31
2521,669,FF,20200927,94.2,-2.39,5.71,219.0,643436,641729,,called_strike,9.0,R,R,KC,DET,S,,,0.57,1.77,Erich Bacchus,-0.077
2522,670,SL,20200927,83.5,-2.48,5.69,143.0,643436,641729,,ball,14.0,R,R,KC,DET,B,,,1.0,1.08,Erich Bacchus,0.057
2523,671,SL,20200927,83.2,-2.43,5.68,123.0,643436,641729,,ball,13.0,R,R,KC,DET,B,,,-0.09,0.79,Erich Bacchus,0.013
2524,672,FF,20200927,94.0,-2.21,5.83,215.0,643436,641729,,called_strike,2.0,R,R,KC,DET,S,,,0.25,2.77,Erich Bacchus,-0.044
2525,673,FF,20200927,94.9,-2.4,5.78,220.0,641531,641729,single,hit_into_play,14.0,R,R,KC,DET,X,9.0,line_drive,0.93,2.02,Erich Bacchus,0.271
2526,674,FF,20200927,93.1,-2.45,5.75,223.0,641531,641729,,called_strike,9.0,R,R,KC,DET,S,,,0.4,1.7,Erich Bacchus,-0.033
2527,675,SL,20200927,83.8,-2.56,5.67,161.0,641531,641729,,ball,14.0,R,R,KC,DET,B,,,0.26,0.92,Erich Bacchus,0.027
2528,676,FF,20200927,93.8,-2.3,5.83,219.0,596748,641729,field_out,hit_into_play,4.0,R,R,KC,DET,X,8.0,fly_ball,-0.54,2.71,Erich Bacchus,-0.209
2529,677,FF,20200927,94.3,-2.51,5.84,222.0,596748,641729,,called_strike,8.0,R,R,KC,DET,S,,,0.27,1.73,Erich Bacchus,-0.042
2530,678,SI,20200927,92.2,-1.33,5.4,206.0,621514,663903,strikeout,foul_tip,1.0,L,R,KC,DET,S,2.0,,-0.51,3.15,Erich Bacchus,-0.067
2531,679,SL,20200927,82.7,-1.49,5.44,87.0,621514,663903,,called_strike,7.0,L,R,KC,DET,S,,,-0.7,1.8,Erich Bacchus,-0.027
2532,680,SL,20200927,79.7,-1.5,5.55,74.0,621514,663903,,called_strike,7.0,L,R,KC,DET,S,,,-0.7,1.9,Erich Bacchus,-0.017
2533,681,SI,20200927,92.8,-1.31,5.38,212.0,641525,663903,field_out,hit_into_play,5.0,R,R,KC,DET,X,9.0,fly_ball,-0.19,2.51,Erich Bacchus,-0.234
2534,682,SL,20200927,81.8,-1.41,5.45,87.0,641525,663903,,ball,11.0,R,R,KC,DET,B,,,-0.62,3.73,Erich Bacchus,0.04
2535,683,SI,20200927,92.2,-1.27,5.41,212.0,641525,663903,,ball,11.0,R,R,KC,DET,B,,,-1.96,4.57,Erich Bacchus,0.027
2536,684,SL,20200927,82.9,-1.46,5.43,75.0,592348,663903,strikeout,swinging_strike,6.0,L,R,KC,DET,S,2.0,,0.47,2.36,Erich Bacchus,-0.18
2537,685,SL,20200927,82.5,-1.62,5.45,103.0,592348,663903,,called_strike,13.0,L,R,KC,DET,S,,,-1.05,1.49,Erich Bacchus,-0.06
2538,686,SI,20200927,91.8,-1.22,5.51,213.0,592348,663903,,foul,3.0,L,R,KC,DET,S,,,0.3,3.07,Erich Bacchus,-0.05
2539,687,SL,20200927,80.3,-1.56,5.53,76.0,592348,663903,,ball,13.0,L,R,KC,DET,B,,,-0.74,1.25,Erich Bacchus,0.041
2540,688,SL,20200927,85.1,2.98,6.29,206.0,521692,669373,strikeout,called_strike,1.0,R,L,KC,DET,S,2.0,,-0.49,3.18,Erich Bacchus,-0.096
2541,689,FF,20200927,94.4,3.23,6.32,136.0,521692,669373,,ball,12.0,R,L,KC,DET,B,,,1.62,2.98,Erich Bacchus,0.018
2542,690,FF,20200927,93.6,2.98,6.35,141.0,521692,669373,,foul,12.0,R,L,KC,DET,S,,,1.37,2.92,Erich Bacchus,-0.029
2543,691,FF,20200927,93.1,2.96,6.39,140.0,521692,669373,,swinging_strike,12.0,R,L,KC,DET,S,,,1.44,2.99,Erich Bacchus,-0.022
2544,692,KC,20200927,76.4,2.71,6.52,339.0,521692,669373,,ball,14.0,R,L,KC,DET,B,,,0.06,-1.13,Erich Bacchus,0.018
2545,693,CH,20200927,80.2,2.37,6.56,136.0,609275,669373,field_out,hit_into_play,7.0,R,L,KC,DET,X,6.0,popup,-0.41,2.05,Erich Bacchus,-0.195
2546,694,SL,20200927,85.9,3.08,6.25,128.0,609275,669373,,foul,6.0,R,L,KC,DET,S,,,0.37,2.34,Erich Bacchus,-0.039
2547,695,CH,20200927,79.5,2.36,6.66,144.0,609275,669373,,ball,11.0,R,L,KC,DET,B,,,-0.15,4.34,Erich Bacchus,0.04
2548,696,CH,20200927,79.5,2.49,6.65,141.0,609275,669373,,ball,14.0,R,L,KC,DET,B,,,0.27,0.64,Erich Bacchus,0.027
2549,697,CH,20200927,81.2,2.47,6.65,145.0,593160,669373,field_out,hit_into_play,2.0,R,L,KC,DET,X,7.0,fly_ball,-0.04,3.01,Erich Bacchus,-0.215
2550,698,FF,20200927,94.6,3.0,6.38,140.0,593160,669373,,ball,12.0,R,L,KC,DET,B,,,1.78,3.06,Erich Bacchus,0.035
2551,699,FF,20200927,94.9,3.25,6.31,133.0,593160,669373,,ball,12.0,R,L,KC,DET,B,,,1.63,4.86,Erich Bacchus,0.027
2552,700,FF,20200927,94.2,3.18,6.24,144.0,593160,669373,,swinging_strike,6.0,R,L,KC,DET,S,,,0.81,2.71,Erich Bacchus,-0.056
2553,701,FF,20200927,91.5,3.05,6.39,137.0,593160,669373,,foul,6.0,R,L,KC,DET,S,,,0.46,2.43,Erich Bacchus,-0.042
2554,702,SI,20200927,92.9,-1.23,5.47,208.0,663662,663903,strikeout,called_strike,6.0,R,R,KC,DET,S,2.0,,0.34,2.63,Erich Bacchus,-0.067
2555,703,SL,20200927,82.6,-1.5,5.41,78.0,663662,663903,,foul,6.0,R,R,KC,DET,S,,,0.66,2.29,Erich Bacchus,-0.027
2556,704,SI,20200927,92.7,-1.17,5.5,212.0,663662,663903,,called_strike,2.0,R,R,KC,DET,S,,,-0.12,3.32,Erich Bacchus,-0.017
2557,705,SL,20200927,82.4,-1.38,5.38,94.0,622682,663903,grounded_into_double_play,hit_into_play,4.0,L,R,KC,DET,X,4.0,ground_ball,-0.4,2.69,Erich Bacchus,-0.386
2558,706,SI,20200927,92.7,-1.27,5.46,205.0,622682,663903,,ball,11.0,L,R,KC,DET,B,,,-1.27,3.97,Erich Bacchus,0.003
2559,707,SI,20200927,91.8,-1.4,5.45,212.0,622682,663903,,foul,5.0,L,R,KC,DET,S,,,0.09,2.5,Erich Bacchus,-0.067
2560,708,SI,20200927,92.8,-1.39,5.49,219.0,622682,663903,,swinging_strike,1.0,L,R,KC,DET,S,,,-0.79,3.09,Erich Bacchus,-0.049
2561,709,SI,20200927,92.4,-1.34,5.41,213.0,642727,663903,single,hit_into_play,5.0,L,R,KC,DET,X,8.0,line_drive,-0.1,2.34,Erich Bacchus,0.439
2562,710,SL,20200927,81.9,-1.55,5.5,78.0,642727,663903,,called_strike,2.0,L,R,KC,DET,S,,,0.08,2.83,Erich Bacchus,-0.042
2563,711,SL,20200927,84.1,3.18,6.21,174.0,614173,669373,field_out,hit_into_play,4.0,L,L,KC,DET,X,1.0,ground_ball,-0.52,2.26,Erich Bacchus,-0.112
2564,712,SL,20200927,86.7,2.78,6.3,166.0,670032,669373,strikeout,swinging_strike_blocked,13.0,L,L,KC,DET,S,2.0,,-1.56,0.92,Erich Bacchus,-0.103
2565,713,SL,20200927,85.1,2.9,6.37,180.0,670032,669373,,foul,2.0,L,L,KC,DET,S,,,-0.05,2.61,Erich Bacchus,-0.039
2566,714,FF,20200927,93.2,2.81,6.52,143.0,670032,669373,,foul,6.0,L,L,KC,DET,S,,,0.45,2.24,Erich Bacchus,-0.026
2567,715,FF,20200927,95.0,2.92,6.39,145.0,658668,669373,field_out,hit_into_play,7.0,R,L,KC,DET,X,5.0,ground_ball,-0.8,2.26,Erich Bacchus,-0.215
2568,716,FF,20200927,94.6,2.96,6.39,140.0,658668,669373,,foul,12.0,R,L,KC,DET,S,,,0.49,3.92,Erich Bacchus,0.0
2569,717,FF,20200927,94.0,3.03,6.35,148.0,658668,669373,,swinging_strike,12.0,R,L,KC,DET,S,,,0.58,3.85,Erich Bacchus,-0.076
2570,718,FF,20200927,92.8,2.88,6.42,144.0,658668,669373,,foul,3.0,R,L,KC,DET,S,,,0.67,3.43,Erich Bacchus,-0.059
2571,719,CH,20200927,79.2,2.54,6.61,139.0,658668,669373,,ball,13.0,R,L,KC,DET,B,,,-1.02,1.99,Erich Bacchus,0.06
2572,720,FF,20200927,94.6,2.87,6.42,146.0,658668,669373,,ball,14.0,R,L,KC,DET,B,,,0.3,1.48,Erich Bacchus,0.041
2573,721,SL,20200927,86.3,2.96,6.18,151.0,643436,669373,home_run,hit_into_play,8.0,R,L,KC,DET,X,,fly_ball,0.0,2.02,Erich Bacchus,1.07
2574,722,CH,20200927,81.8,2.39,6.61,144.0,643436,669373,,ball,12.0,R,L,KC,DET,B,,,0.85,3.35,Erich Bacchus,0.027
2575,723,KC,20200927,75.4,2.45,6.52,338.0,643436,669373,,called_strike,9.0,R,L,KC,DET,S,,,0.66,1.79,Erich Bacchus,-0.056
2576,724,FF,20200927,91.7,3.01,6.44,136.0,643436,669373,,called_strike,2.0,R,L,KC,DET,S,,,-0.22,2.88,Erich Bacchus,-0.042
2577,725,SL,20200927,82.8,-1.4,5.4,103.0,670623,663903,field_out,hit_into_play,8.0,R,R,KC,DET,X,5.0,ground_ball,0.11,1.77,Erich Bacchus,-0.078
2578,726,SI,20200927,94.0,-1.18,5.36,212.0,670623,663903,,foul,11.0,R,R,KC,DET,S,,,-0.73,3.49,Erich Bacchus,0.0
2579,727,SI,20200927,93.9,-1.33,5.38,216.0,670623,663903,,foul,7.0,R,R,KC,DET,S,,,-0.47,1.79,Erich Bacchus,-0.029
2580,728,SL,20200927,85.4,-1.4,5.37,93.0,670623,663903,,ball,14.0,R,R,KC,DET,B,,,1.65,1.3,Erich Bacchus,0.013
2581,729,SI,20200927,93.2,-1.21,5.39,215.0,670623,663903,,foul,1.0,R,R,KC,DET,S,,,-0.49,2.87,Erich Bacchus,-0.017
2582,730,SL,20200927,83.0,-1.32,5.4,77.0,606992,663903,strikeout,swinging_strike,14.0,R,R,KC,DET,S,2.0,,1.26,1.12,Erich Bacchus,-0.118
2583,731,SI,20200927,93.8,-1.48,5.37,215.0,606992,663903,,foul,11.0,R,R,KC,DET,S,,,-1.5,2.7,Erich Bacchus,0.0
2584,732,SL,20200927,82.8,-1.49,5.39,69.0,606992,663903,,swinging_strike,14.0,R,R,KC,DET,S,,,1.31,1.13,Erich Bacchus,-0.044
2585,733,SI,20200927,91.8,-1.39,5.35,212.0,606992,663903,,ball,8.0,R,R,KC,DET,B,,,0.04,1.54,Erich Bacchus,0.02
2586,734,SI,20200927,92.2,-1.18,5.42,215.0,606992,663903,,called_strike,3.0,R,R,KC,DET,S,,,0.39,2.87,Erich Bacchus,-0.026
2587,735,SI,20200927,92.0,-1.41,5.47,207.0,593528,663903,field_out,hit_into_play,1.0,R,R,KC,DET,X,3.0,popup,-0.47,3.33,Erich Bacchus,-0.209
2588,736,SL,20200927,81.5,-1.51,5.51,71.0,593528,663903,,called_strike,5.0,R,R,KC,DET,S,,,0.15,2.47,Erich Bacchus,-0.042
2589,737,CH,20200927,81.7,2.29,6.61,136.0,641531,669373,strikeout,called_strike,12.0,R,L,KC,DET,S,2.0,,0.83,2.47,Erich Bacchus,-0.078
2590,738,CH,20200927,81.6,2.47,6.57,136.0,641531,669373,,swinging_strike,8.0,R,L,KC,DET,S,,,0.04,1.72,Erich Bacchus,-0.029
2591,739,FF,20200927,94.0,3.1,6.33,140.0,641531,669373,,foul,4.0,R,L,KC,DET,S,,,-0.46,2.57,Erich Bacchus,-0.022
2592,740,KC,20200927,74.7,2.56,6.57,346.0,641531,669373,,ball,14.0,R,L,KC,DET,B,,,0.15,1.33,Erich Bacchus,0.018
2593,741,FF,20200927,94.0,2.98,6.37,137.0,596748,669373,field_out,hit_into_play,2.0,R,L,KC,DET,X,5.0,ground_ball,-0.04,2.84,Erich Bacchus,-0.168
2594,742,CH,20200927,81.5,2.33,6.65,140.0,521692,669373,strikeout,swinging_strike,14.0,R,L,KC,DET,S,2.0,,0.08,1.47,Erich Bacchus,-0.18
2595,743,SL,20200927,85.8,2.9,6.26,163.0,521692,669373,,foul,5.0,R,L,KC,DET,S,,,0.21,2.38,Erich Bacchus,-0.06
2596,744,KC,20200927,75.9,2.63,6.5,336.0,521692,669373,,ball,13.0,R,L,KC,DET,B,,,-0.54,0.74,Erich Bacchus,0.032
2597,745,FF,20200927,93.8,2.67,6.57,147.0,521692,669373,,swinging_strike,12.0,R,L,KC,DET,S,,,0.25,3.65,Erich Bacchus,-0.042
2598,746,FF,20200927,94.5,3.07,6.39,152.0,609275,669373,home_run,hit_into_play,2.0,R,L,KC,DET,X,,fly_ball,0.12,3.44,Erich Bacchus,1.07
2599,747,CH,20200927,80.8,2.46,6.62,138.0,609275,669373,,swinging_strike,6.0,R,L,KC,DET,S,,,0.8,2.54,Erich Bacchus,-0.06
2600,748,FF,20200927,94.4,3.18,6.34,135.0,609275,669373,,ball,12.0,R,L,KC,DET,B,,,0.64,3.52,Erich Bacchus,0.032
2601,749,SL,20200927,85.4,3.09,6.36,141.0,609275,669373,,called_strike,8.0,R,L,KC,DET,S,,,-0.13,2.02,Erich Bacchus,-0.042
2602,750,SL,20200927,84.7,-1.43,5.35,47.0,621514,663903,field_out,hit_into_play,4.0,L,R,KC,DET,X,6.0,ground_ball,-0.33,2.12,Erich Bacchus,-0.078
2603,751,SI,20200927,92.6,-1.25,5.43,204.0,621514,663903,,called_strike,9.0,L,R,KC,DET,S,,,0.48,2.04,Erich Bacchus,-0.029
2604,752,SL,20200927,82.7,-1.59,5.39,89.0,621514,663903,,ball,11.0,L,R,KC,DET,B,,,-0.98,2.39,Erich Bacchus,0.013
2605,753,SI,20200927,93.1,-1.22,5.47,217.0,621514,663903,,called_strike,13.0,L,R,KC,DET,S,,,-0.88,2.27,Erich Bacchus,-0.017
2606,754,SI,20200927,93.2,-1.14,5.4,217.0,641525,663903,field_out,hit_into_play,4.0,R,R,KC,DET,X,6.0,ground_ball,-0.53,2.34,Erich Bacchus,-0.168
2607,755,SI,20200927,94.1,-1.28,5.44,221.0,592348,663903,strikeout,swinging_strike,5.0,L,R,KC,DET,S,2.0,,-0.2,3.01,Erich Bacchus,-0.215
2608,756,SL,20200927,84.4,-1.55,5.42,82.0,592348,663903,,ball,14.0,L,R,KC,DET,B,,,0.78,1.24,Erich Bacchus,0.035
2609,757,SI,20200927,92.9,-1.22,5.45,215.0,592348,663903,,called_strike,14.0,L,R,KC,DET,S,,,0.83,1.83,Erich Bacchus,-0.06
2610,758,SI,20200927,91.7,-1.32,5.56,208.0,592348,663903,,called_strike,3.0,L,R,KC,DET,S,,,0.47,3.24,Erich Bacchus,-0.05
2611,759,SL,20200927,81.4,-1.5,5.62,76.0,592348,663903,,ball,14.0,L,R,KC,DET,B,,,0.31,1.2,Erich Bacchus,0.041
2612,760,SL,20200927,85.3,2.74,6.24,45.0,593160,669373,field_out,hit_into_play,5.0,R,L,KC,DET,X,9.0,fly_ball,-0.25,2.35,Erich Bacchus,-0.159
2613,761,FF,20200927,94.6,2.48,6.46,149.0,593160,669373,,foul,4.0,R,L,KC,DET,S,,,-0.38,2.4,Erich Bacchus,0.0
2614,762,CH,20200927,83.9,2.39,6.53,141.0,593160,669373,,foul,9.0,R,L,KC,DET,S,,,0.74,1.64,Erich Bacchus,-0.053
2615,763,FF,20200927,94.0,2.77,6.4,143.0,593160,669373,,called_strike,2.0,R,L,KC,DET,S,,,-0.04,3.33,Erich Bacchus,-0.041
2616,764,FF,20200927,95.1,3.11,6.21,143.0,614173,669373,walk,ball,12.0,L,L,KC,DET,B,,,0.59,3.88,Erich Bacchus,0.116
2617,765,FF,20200927,94.3,3.03,6.33,139.0,614173,669373,,foul,14.0,L,L,KC,DET,S,,,0.97,2.07,Erich Bacchus,0.0
2618,766,FF,20200927,95.5,2.9,6.38,139.0,614173,669373,,foul,11.0,L,L,KC,DET,S,,,-0.05,3.77,Erich Bacchus,0.0
2619,767,FF,20200927,95.0,2.69,6.33,146.0,614173,669373,,foul,13.0,L,L,KC,DET,S,,,-0.81,1.46,Erich Bacchus,0.0
2620,768,FF,20200927,94.7,2.96,6.34,133.0,614173,669373,,foul,9.0,L,L,KC,DET,S,,,0.36,1.99,Erich Bacchus,0.0
2621,769,FF,20200927,96.1,2.79,6.42,165.0,614173,669373,,ball,11.0,L,L,KC,DET,B,,,-1.16,3.07,Erich Bacchus,0.039
2622,770,FF,20200927,94.0,2.82,6.45,149.0,614173,669373,,foul,5.0,L,L,KC,DET,S,,,-0.16,2.32,Erich Bacchus,-0.032
2623,771,FF,20200927,92.3,2.71,6.44,149.0,614173,669373,,foul,8.0,L,L,KC,DET,S,,,0.02,2.12,Erich Bacchus,-0.028
2624,772,FF,20200927,94.2,3.05,6.32,142.0,614173,669373,,ball,12.0,L,L,KC,DET,B,,,1.6,3.98,Erich Bacchus,0.027
